ProfileID,Age,GenderEncoded,RegionEncoded,EducationEncoded,FieldOfStudyEncoded,ExperienceYears,YearsSinceGraduation,YearsGap,DigitalSkillEncoded,EnglishLevelEncoded,CurrentEmploymentStatusEncoded,DesiredIndustryEncoded,PreferredJobTypeEncoded,TechSkillCount,SoftSkillCount,HasPythonSkill,HasDigitalMarketing,CertificationsCount
76,25,1,18,5,6,0,0,0,2,1,5,6,0,2,2,0,0,0
77,22,1,2,3,0,0,3,3,0,0,5,0,2,2,3,0,0,1
78,22,0,19,5,8,0,3,3,1,1,2,2,2,2,2,0,0,1
79,26,1,20,1,8,8,8,0,2,2,4,7,0,3,3,0,1,0
80,24,1,19,3,3,2,2,0,1,1,0,0,3,4,2,1,0,1
81,26,1,26,2,6,2,3,1,1,1,1,1,0,2,3,0,0,3
82,23,1,5,2,6,4,6,2,2,0,3,7,1,4,3,0,1,2
83,23,0,8,5,8,2,2,0,0,0,1,8,3,4,2,0,0,0
84,24,1,19,2,3,0,0,0,1,2,5,6,1,4,2,0,0,2
85,24,1,24,3,8,3,7,4,0,0,1,4,1,2,3,0,1,2
86,22,1,15,3,2,4,4,0,2,0,4,0,0,4,2,0,0,1
87,27,0,6,4,4,5,6,1,1,1,2,5,3,2,3,0,1,0
88,27,0,21,1,7,0,0,0,1,0,4,3,0,4,3,0,1,1
89,25,1,10,3,6,4,5,1,2,2,4,5,0,4,3,0,0,1
90,26,1,8,4,6,0,0,0,1,1,5,5,1,3,2,0,0,1
91,25,1,19,4,6,0,0,0,0,2,3,0,0,4,3,0,0,0
92,25,0,21,5,2,2,3,1,2,0,0,4,0,4,3,0,0,0
93,24,0,1,4,4,4,7,3,0,1,0,0,3,3,3,0,0,1
94,26,1,16,3,9,7,7,0,2,2,4,5,0,2,3,0,0,2
95,20,0,7,5,9,2,2,0,0,1,0,2,1,4,3,1,0,1
96,26,0,15,1,2,1,6,5,1,0,3,5,2,4,3,1,0,1
97,22,1,20,3,5,5,5,0,1,1,0,3,1,3,3,0,0,1
98,25,1,18,2,2,6,8,2,0,1,5,0,0,2,3,0,1,1
99,22,0,14,0,6,1,4,3,2,1,0,3,3,2,3,0,0,3
100,22,1,17,1,9,1,1,0,1,1,1,6,1,4,2,1,0,1
101,27,0,27,4,8,2,5,3,1,1,0,0,2,3,2,0,0,2
102,23,0,0,3,5,1,4,3,2,2,1,7,0,2,2,0,0,1
103,21,1,12,2,7,1,2,1,1,1,5,1,1,2,3,0,0,2
104,25,0,1,2,2,1,2,1,2,1,0,7,2,4,3,0,1,3
105,25,1,21,1,9,1,2,1,0,1,0,5,2,2,2,0,0,1
106,22,0,18,1,6,2,5,3,1,1,2,3,3,2,2,0,0,3
107,26,0,28,3,9,2,6,4,0,1,1,7,2,2,3,0,0,1
108,24,1,22,3,9,3,4,1,1,1,0,3,1,3,2,0,0,2
109,23,0,24,0,2,0,3,3,2,0,3,9,1,2,3,0,0,1
110,24,0,6,2,2,2,4,2,2,2,1,0,2,4,3,1,0,1
111,18,0,1,2,5,0,0,0,0,1,1,9,1,3,3,0,0,0
112,24,0,27,2,6,0,0,0,2,1,2,9,1,3,2,0,0,3
113,27,1,18,3,1,1,6,5,1,1,3,9,0,3,3,0,0,2
114,21,1,9,2,6,0,3,3,1,0,4,2,2,3,2,0,0,1
115,27,0,2,1,4,2,2,0,0,0,2,4,1,4,2,1,1,0
116,22,1,0,4,2,3,4,1,1,1,0,5,2,4,2,0,0,2
117,25,0,10,3,0,0,2,2,0,1,5,5,0,3,3,0,1,3
118,19,1,9,0,9,0,2,2,2,1,0,8,3,4,3,0,1,1
119,27,1,13,2,4,0,8,8,2,2,4,3,1,4,2,0,1,2
120,21,1,2,3,7,0,0,0,2,1,1,1,2,3,3,0,0,1
121,22,0,5,4,3,0,2,2,1,1,4,7,0,3,3,0,1,0
122,25,0,24,1,3,8,8,0,1,0,5,6,0,3,3,0,0,1
123,24,1,11,2,7,0,2,2,2,0,5,6,0,3,3,0,0,0
124,25,1,21,2,1,3,5,2,1,2,1,5,1,3,3,0,0,1
125,22,1,8,3,5,0,2,2,0,0,1,0,3,4,2,0,0,0
126,25,1,5,0,7,6,6,0,1,1,0,5,2,4,3,1,0,2
127,29,0,12,3,9,6,6,0,1,1,4,6,0,2,2,0,0,1
128,25,1,11,1,0,3,4,1,0,0,1,0,0,3,3,0,0,1
129,21,1,13,4,9,2,2,0,2,2,1,3,1,4,3,0,0,1
130,28,1,19,3,8,3,3,0,1,1,2,3,0,4,3,0,1,0
131,20,1,14,0,7,1,2,1,0,1,2,2,3,4,3,0,0,2
132,21,1,4,4,1,3,3,0,2,1,0,0,1,3,3,0,0,3
133,26,1,5,1,6,6,7,1,1,1,1,4,1,2,2,0,0,1
134,18,0,15,0,5,0,1,1,1,0,0,1,3,4,2,0,0,2
135,20,1,22,1,2,0,0,0,2,1,0,5,2,2,2,0,0,1
136,27,0,6,4,3,2,4,2,1,2,3,6,1,3,2,1,0,2
137,19,1,23,2,8,1,1,0,1,1,1,6,2,4,3,0,0,2
138,23,0,1,5,0,4,6,2,1,2,1,4,0,3,2,0,0,2
139,19,0,1,4,3,0,0,0,1,2,3,0,0,2,3,0,1,2
140,19,1,0,0,9,2,2,0,0,1,4,6,3,2,2,0,1,1
141,21,0,22,5,4,1,3,2,1,0,4,6,3,3,3,0,0,1
142,18,0,9,1,0,0,0,0,0,1,3,3,3,2,3,0,0,2
143,23,0,19,3,9,2,2,0,2,2,1,3,1,4,3,1,0,1
144,27,0,29,5,3,1,5,4,1,2,3,9,1,3,2,0,1,0
145,19,0,10,1,3,1,1,0,1,0,0,5,1,3,2,0,1,1
146,23,1,19,3,2,1,6,5,2,0,3,4,3,3,2,0,0,1
147,24,1,1,4,6,2,2,0,0,0,1,8,0,3,3,0,1,1
148,19,0,5,5,9,0,0,0,2,1,1,6,1,4,2,1,0,1
149,18,1,2,3,6,0,1,1,1,1,2,2,3,4,2,1,0,3
150,21,1,0,5,1,1,2,1,2,1,5,2,0,4,3,0,0,0
151,19,0,1,3,1,0,0,0,2,1,1,2,3,2,3,0,0,2
152,22,1,18,5,3,3,4,1,1,1,1,6,3,4,3,1,1,1
153,22,1,6,2,1,0,2,2,2,0,2,5,3,2,3,0,0,0
154,19,0,24,1,5,1,1,0,0,0,2,2,3,2,2,0,0,1
155,22,1,24,4,0,3,3,0,1,1,4,6,1,2,2,1,0,2
156,29,1,28,0,3,0,4,4,2,0,1,4,1,2,2,0,0,0
157,20,1,4,1,3,0,2,2,0,0,3,0,3,4,3,0,0,0
158,23,0,0,4,8,4,6,2,2,2,0,8,2,4,3,0,0,1
159,22,0,6,3,1,0,2,2,0,1,5,5,1,2,2,0,0,2
160,23,1,20,0,5,3,6,3,1,2,1,0,1,4,2,0,0,2
161,23,0,6,4,0,1,4,3,2,1,5,5,1,2,3,0,0,1
162,24,1,8,5,7,0,5,5,1,2,3,6,0,3,3,0,0,2
163,24,0,8,3,8,1,4,3,2,0,2,5,2,4,2,1,0,1
164,20,0,27,5,9,0,1,1,0,1,2,1,2,2,2,0,0,1
165,26,0,2,1,8,1,2,1,1,1,0,6,2,4,2,0,1,1
166,24,0,11,4,1,1,6,5,1,1,1,6,0,4,2,0,0,0
167,26,1,7,1,0,4,8,4,1,0,4,7,2,2,2,1,0,1
168,23,1,1,4,5,1,1,0,0,1,4,7,2,3,3,0,1,1
169,21,0,13,5,9,0,4,4,2,1,4,1,2,4,3,1,0,1
170,24,0,28,1,7,0,2,2,0,1,1,0,1,2,3,1,0,3
171,23,0,18,5,0,0,0,0,1,1,5,2,2,2,3,0,0,0
172,29,1,1,0,3,1,1,0,0,2,1,2,2,4,2,1,0,0
173,25,1,9,2,3,4,7,3,0,0,2,2,0,3,2,0,0,2
174,21,0,5,0,1,0,0,0,1,2,3,4,0,2,2,0,0,1
175,24,1,21,4,2,0,0,0,2,1,5,1,2,4,3,0,0,3
176,22,1,19,2,9,1,1,0,1,1,5,7,3,2,2,0,0,1
177,28,1,21,3,0,2,7,5,1,1,4,2,0,4,3,0,0,1
178,18,1,24,4,8,1,1,0,2,0,4,2,0,3,2,0,0,3
179,21,0,10,0,0,1,2,1,0,1,2,5,1,3,3,0,0,2
180,19,1,15,1,0,1,2,1,1,1,1,1,3,2,3,0,0,1
181,18,1,4,0,8,0,0,0,0,1,1,7,0,3,2,1,0,3
182,24,1,23,5,3,0,2,2,1,1,4,8,3,3,2,0,0,0
183,18,1,19,1,7,0,0,0,1,2,1,9,1,2,2,0,0,0
184,27,0,27,2,4,0,1,1,2,0,2,5,0,3,3,0,0,0
185,23,1,16,1,4,0,0,0,1,1,5,2,3,4,2,1,0,1
186,24,0,6,2,5,0,0,0,1,0,0,5,1,3,3,0,0,1
187,27,0,6,2,2,2,6,4,2,1,1,4,0,2,2,0,0,0
188,18,1,14,4,0,0,0,0,1,1,1,2,2,2,2,0,0,2
189,27,1,28,4,3,2,2,0,1,0,1,5,0,4,2,0,1,3
190,26,1,22,3,9,6,7,1,1,1,4,8,1,2,3,0,0,2
191,27,0,14,3,1,1,2,1,0,0,3,8,3,3,2,0,0,1
192,19,1,8,1,8,2,2,0,1,0,1,5,3,2,3,0,0,2
193,24,1,1,2,2,3,6,3,0,0,3,5,2,2,3,0,0,0
194,23,1,26,1,8,0,6,6,0,2,0,9,1,4,2,1,0,1
195,23,0,7,3,0,0,1,1,1,2,1,2,0,4,2,1,0,1
196,22,0,19,5,9,1,3,2,1,1,2,6,2,2,3,0,0,3
197,20,0,14,0,7,0,1,1,1,0,3,5,0,4,3,0,0,2
198,22,1,20,3,6,4,5,1,2,1,1,9,1,2,3,0,0,2
199,18,1,7,3,2,1,1,0,0,1,4,0,3,4,3,1,0,2
200,20,1,20,4,9,0,3,3,1,1,0,3,2,2,2,0,0,1
201,25,0,13,0,9,3,7,4,0,1,0,5,1,4,2,0,0,2
202,23,1,2,1,8,2,4,2,2,1,5,1,2,4,2,1,0,1
203,18,1,8,1,7,0,0,0,1,1,5,3,0,3,3,0,0,2
204,22,1,17,5,1,0,1,1,1,0,1,6,2,3,3,0,0,1
205,23,1,1,4,0,4,6,2,1,1,5,3,2,2,3,0,0,1
206,24,0,6,4,7,1,2,1,1,1,5,2,2,3,3,0,0,1
207,28,1,29,2,2,1,8,7,2,1,0,2,2,3,2,0,0,0
208,25,0,10,2,1,1,2,1,1,2,2,1,3,4,2,1,0,1
209,23,1,3,2,1,1,3,2,2,0,1,3,3,2,3,1,0,2
210,18,1,29,3,8,1,1,0,1,1,5,2,3,2,3,0,0,1
211,25,0,28,2,5,3,3,0,2,1,0,1,2,3,3,0,0,2
212,23,1,23,5,4,0,1,1,2,2,4,6,3,4,2,0,0,1
213,22,1,12,3,9,2,5,3,2,1,4,1,3,4,3,0,0,2
214,24,1,28,2,5,3,7,4,2,1,4,3,0,3,2,1,0,2
215,20,0,19,2,4,2,3,1,1,2,4,2,2,2,3,0,0,3
216,21,0,23,1,3,0,1,1,1,0,4,0,0,4,2,0,0,1
217,24,1,25,0,6,0,2,2,1,0,0,8,1,3,2,0,0,1
218,23,0,0,4,1,3,6,3,1,1,1,0,0,2,2,0,0,1
219,18,0,26,3,2,0,0,0,2,2,0,9,3,2,2,0,0,1
220,22,1,9,1,1,3,3,0,1,2,1,5,3,3,2,0,0,1
221,28,1,24,4,3,1,8,7,1,1,5,1,2,3,3,0,0,1
222,23,1,29,3,2,3,3,0,2,1,3,2,0,4,3,0,0,1
223,20,1,18,4,3,0,3,3,0,2,3,5,2,2,2,0,1,2
224,20,0,12,0,1,2,2,0,0,0,2,0,2,3,3,0,0,2
225,19,0,15,4,3,1,1,0,1,1,0,9,3,4,3,0,1,2
226,18,1,6,0,6,0,1,1,1,0,4,2,0,2,3,0,0,2
227,21,1,24,5,8,0,3,3,2,1,2,3,1,3,2,0,0,1
228,18,1,4,4,0,0,0,0,1,0,0,0,1,3,3,0,0,2
229,24,0,1,5,2,0,7,7,0,1,4,4,0,4,2,0,0,1
230,24,0,11,3,8,0,7,7,1,1,0,0,2,2,3,0,0,1
231,21,0,21,1,1,1,1,0,1,1,5,4,2,2,3,0,0,0
232,22,1,9,3,2,2,5,3,0,1,1,3,1,4,3,0,0,2
233,24,0,21,4,7,0,2,2,2,0,1,6,2,4,3,0,0,0
234,22,1,25,0,0,1,4,3,0,0,5,9,2,4,3,0,1,1
235,25,0,7,2,4,2,4,2,1,1,1,1,2,3,2,0,0,3
236,24,1,15,1,4,0,1,1,0,1,4,7,3,2,2,0,0,1
237,27,1,20,4,1,2,5,3,0,1,1,2,2,2,3,0,0,3
238,27,1,29,3,5,4,7,3,1,0,5,8,1,3,2,0,0,1
239,19,1,14,1,1,0,0,0,0,1,5,7,2,2,3,0,1,1
240,20,0,10,5,5,0,1,1,2,1,0,2,2,2,2,0,0,0
241,25,0,20,4,6,0,1,1,2,0,3,4,0,3,2,1,1,2
242,25,1,18,4,8,3,4,1,0,0,2,3,2,3,3,1,0,1
243,25,1,29,3,1,8,8,0,2,1,5,1,3,4,3,0,0,1
244,27,0,4,4,6,0,0,0,1,0,2,3,1,3,2,1,1,2
245,24,1,11,3,6,3,5,2,1,0,5,0,0,2,3,0,0,1
246,29,0,11,2,0,8,9,1,2,1,3,2,0,3,2,0,0,2
247,21,0,7,1,0,3,4,1,0,0,5,7,0,2,2,0,0,0
248,20,0,15,1,9,0,0,0,1,2,0,9,0,2,2,0,0,2
249,20,0,7,5,2,2,2,0,2,1,0,6,0,2,2,0,0,1
250,27,0,20,0,7,2,9,7,1,1,2,5,0,4,2,0,0,1
251,21,0,10,2,7,1,2,1,1,1,1,1,1,4,3,0,0,0
252,24,0,9,4,8,1,2,1,2,2,5,1,3,4,2,0,0,1
253,25,1,12,2,3,0,4,4,1,1,5,6,0,3,3,0,0,2
254,22,0,1,1,3,0,0,0,1,2,1,7,3,3,2,1,0,2
255,28,0,6,0,4,0,1,1,1,1,4,1,3,3,3,1,0,1
256,22,1,12,1,8,1,1,0,1,1,0,9,1,2,3,0,1,2
257,24,0,22,0,4,1,4,3,0,1,1,4,1,3,3,1,0,2
258,25,1,22,5,4,0,4,4,1,2,5,4,3,3,2,0,0,2
259,22,1,25,2,0,4,5,1,2,0,5,5,0,2,2,0,0,2
260,19,0,1,4,1,1,2,1,2,1,1,6,0,3,2,0,1,3
261,25,1,17,1,3,0,2,2,1,1,0,3,0,2,2,0,0,1
262,22,0,23,0,4,0,0,0,1,1,1,3,2,2,3,0,0,1
263,19,0,27,2,9,0,0,0,1,2,1,7,1,4,2,0,1,2
264,21,0,22,3,1,3,3,0,1,1,1,2,1,2,2,0,0,2
265,23,0,18,4,5,3,6,3,2,2,3,1,1,3,2,0,0,0
266,24,0,19,5,0,1,3,2,0,0,1,4,2,4,3,0,0,1
267,18,0,26,4,2,0,0,0,0,0,3,8,1,3,3,0,0,1
268,25,0,17,5,6,7,7,0,2,1,4,5,1,3,2,0,0,1
269,25,0,5,0,4,2,2,0,1,0,2,1,3,4,3,0,0,1
270,24,1,25,4,6,0,0,0,1,1,1,2,1,2,2,0,0,0
271,23,1,1,5,4,0,1,1,1,1,3,6,3,2,2,0,0,0
272,23,0,6,5,5,4,5,1,0,0,1,8,3,3,2,0,0,3
273,20,1,27,5,7,0,3,3,2,0,0,2,0,4,2,0,0,3
274,28,0,26,5,5,3,4,1,1,0,0,5,0,2,3,0,0,2
275,23,1,29,4,0,0,5,5,1,0,0,7,2,2,2,0,0,2
276,23,0,16,2,4,4,4,0,1,0,0,1,2,4,3,0,0,2
277,19,1,2,1,4,1,1,0,0,1,2,9,0,4,2,0,0,2
278,19,1,17,2,1,0,0,0,0,1,1,5,2,2,3,0,0,1
279,19,1,6,2,8,1,2,1,2,1,4,3,3,3,2,0,0,3
280,27,0,19,4,5,0,1,1,2,0,3,9,3,2,2,1,0,3
281,28,0,20,0,8,2,3,1,2,0,0,4,3,3,2,0,0,1
282,24,0,3,1,3,1,4,3,0,2,0,0,3,3,3,0,0,1
283,26,1,3,4,6,8,9,1,1,1,3,1,0,3,3,0,1,2
284,24,0,12,2,6,7,7,0,2,0,1,5,0,3,3,0,0,0
285,21,0,16,3,3,4,4,0,2,0,2,6,0,4,3,0,1,2
286,23,1,5,4,5,1,1,0,0,1,2,9,1,2,3,0,1,1
287,24,1,10,4,7,2,6,4,1,1,4,0,3,2,3,0,0,1
288,23,1,3,3,5,2,5,3,0,2,2,1,3,4,3,0,0,0
289,24,0,4,3,9,5,6,1,1,1,3,9,1,4,3,0,0,1
290,21,1,13,4,8,0,0,0,1,1,3,0,3,2,3,0,0,1
291,23,0,4,4,2,1,3,2,1,0,1,5,0,2,3,1,0,3
292,26,1,21,5,8,3,4,1,1,1,0,3,2,4,3,1,1,1
293,18,1,29,3,7,0,1,1,2,2,2,5,0,2,2,0,0,2
294,26,0,24,4,6,1,7,6,2,0,2,2,1,4,2,0,0,3
295,22,1,1,3,5,1,1,0,2,1,4,6,1,4,2,0,0,1
296,24,1,13,3,8,0,1,1,2,1,5,9,1,3,2,0,0,0
297,27,0,11,4,2,5,8,3,0,1,1,2,0,3,3,0,0,1
298,22,0,22,4,1,0,0,0,2,0,4,4,0,2,2,0,0,2
299,27,1,6,3,3,0,1,1,0,0,0,5,1,2,3,0,0,3
300,22,0,22,3,3,2,5,3,2,1,5,8,2,3,3,1,0,1
301,24,0,18,4,9,1,6,5,1,0,3,2,3,2,3,0,1,0
302,26,1,3,3,7,1,4,3,1,2,0,9,2,3,2,0,1,3
303,18,1,24,2,1,1,1,0,2,2,0,1,0,2,2,0,0,0
304,21,0,29,2,2,0,3,3,1,1,4,4,1,2,2,1,0,1
305,21,0,27,5,4,0,3,3,2,0,2,8,2,2,3,0,0,3
306,20,0,28,1,0,0,0,0,0,1,5,0,3,2,2,1,0,2
307,26,0,11,0,0,0,1,1,1,2,1,7,0,2,2,0,0,2
308,25,0,5,4,0,1,2,1,2,1,4,3,3,2,2,0,0,0
309,22,1,12,2,3,3,5,2,1,0,0,9,2,3,2,1,0,2
310,19,1,16,4,4,0,0,0,2,1,4,1,1,3,2,1,0,2
311,26,0,2,4,1,2,5,3,2,0,0,4,3,2,2,1,0,1
312,28,1,17,3,1,8,9,1,1,0,0,1,1,2,2,0,0,2
313,26,0,9,4,4,1,6,5,2,1,4,1,1,3,2,0,0,0
314,25,0,21,4,6,7,7,0,1,1,5,2,1,4,2,0,0,1
315,24,1,29,3,0,1,3,2,1,1,1,5,1,4,3,1,0,1
316,21,1,25,1,7,0,1,1,1,0,2,3,1,3,2,0,1,0
317,23,0,29,1,0,1,6,5,0,1,2,1,2,4,2,0,1,2
318,22,0,20,0,1,2,2,0,0,1,1,1,3,2,3,0,0,1
319,25,1,15,1,7,3,7,4,0,1,5,2,2,3,3,1,1,1
320,25,0,19,2,9,0,1,1,0,1,4,0,0,2,3,0,0,0
321,21,1,15,1,5,1,1,0,1,1,0,2,1,2,3,0,0,1
322,29,0,28,0,4,1,4,3,0,0,5,2,3,2,3,0,0,1
323,24,0,13,5,6,1,2,1,2,0,0,8,0,3,2,0,0,0
324,24,0,24,3,2,5,7,2,2,2,0,9,0,4,3,0,0,3
325,23,1,22,0,7,1,1,0,1,0,0,3,1,3,3,0,1,1
326,23,1,27,1,3,0,0,0,1,1,3,7,0,2,3,0,0,1
327,24,1,14,3,4,5,6,1,0,0,0,6,1,2,3,0,0,0
328,21,1,23,1,6,1,4,3,2,2,5,4,3,3,3,0,0,0
329,26,1,26,2,0,1,2,1,0,1,4,2,2,2,3,0,0,2
330,26,1,19,2,0,0,9,9,0,0,4,1,2,4,3,1,0,0
331,18,1,6,4,6,0,0,0,1,2,1,2,0,4,2,0,0,1
332,23,1,4,1,6,0,1,1,2,1,1,9,3,3,2,0,1,1
333,26,0,2,3,9,1,5,4,1,0,2,3,1,4,2,0,0,1
334,21,0,18,3,7,0,3,3,2,0,0,5,3,3,2,1,0,2
335,25,0,10,4,4,0,5,5,2,2,1,5,0,3,2,0,0,1
336,29,1,7,5,2,0,8,8,0,0,5,9,2,3,2,0,0,3
337,23,1,24,5,6,0,0,0,2,0,2,2,3,2,2,0,0,1
338,24,0,3,2,4,2,6,4,0,1,1,4,0,2,2,0,0,1
339,20,1,16,5,2,0,1,1,1,0,5,7,3,2,3,0,0,1
340,26,1,4,2,5,1,7,6,2,1,5,0,3,2,3,1,1,2
341,22,1,25,4,3,3,4,1,0,0,0,4,0,4,2,0,0,1
342,22,0,19,1,9,0,0,0,2,1,2,0,2,3,3,0,0,1
343,20,1,12,5,9,1,2,1,1,0,4,1,0,4,2,0,0,3
344,25,1,21,3,2,1,3,2,1,1,1,6,0,2,2,0,0,0
345,25,0,16,3,0,0,0,0,1,1,0,4,3,4,3,0,0,3
346,22,1,29,5,0,1,4,3,2,0,1,7,1,4,3,0,1,1
347,22,1,18,3,7,2,3,1,2,1,0,4,1,2,3,0,0,3
348,21,0,13,3,1,0,0,0,1,0,4,2,2,3,3,0,1,1
349,24,0,23,2,9,3,4,1,1,2,3,8,1,2,2,0,0,2
350,24,0,19,5,7,0,7,7,2,2,5,2,3,3,2,0,1,1
351,29,1,14,2,5,0,1,1,1,1,5,5,2,4,2,0,0,3
352,21,0,28,5,9,0,0,0,1,1,4,9,2,3,3,0,0,0
353,21,0,18,2,6,3,4,1,1,2,5,6,1,3,3,0,0,1
354,18,1,22,0,2,0,1,1,2,0,2,4,2,4,2,0,0,0
355,23,0,25,4,7,0,0,0,1,1,4,7,1,4,2,0,1,2
356,20,0,0,3,9,1,2,1,1,1,5,5,0,3,3,0,1,3
357,27,1,6,0,6,1,1,0,2,1,4,7,2,4,2,0,1,0
358,21,1,27,5,1,0,3,3,2,0,1,2,0,4,2,0,0,3
